model,canonical_name_v4,source_category,source_url,source_media_status,min_source_images_evidenced,media_note,final_application_tags
EB-5H20,Видеобронхоскоп SonoScape EB-5H20,Видеобронхоскопы,https://endomarket.ru/catalog/videobronhoskopy,confirmed,4,На странице EndoMarket есть галерея.,Пульмонология | Бронхоскопия | Анестезиология | Реанимация
EB-5T28,Видеобронхоскоп SonoScape EB-5T28,Видеобронхоскопы,https://endomarket.ru/catalog/videobronhoskopy,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Пульмонология | Бронхоскопия | Анестезиология | Реанимация
EB-500,Видеобронхоскоп SonoScape EB-500,Видеобронхоскопы,https://endomarket.ru/products/videobronhoskop-sonoscape-eb-500,confirmed,3,На странице EndoMarket есть галерея.,Пульмонология | Бронхоскопия | Анестезиология | Реанимация
ED-5GT,Видеодуоденоскоп SonoScape ED-5GT,Видеодуоденоскопы,https://endomarket.ru/catalog/videoduodenoskopy,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Гастроэнтерология | Эндоскопия | ЭРХПГ
ENDO CLEAN-1000,Установка для мойки и дезинфекции ENDO CLEAN-1000 MEDINOVA,Оборудование для дезинфекции,https://endomarket.ru/products/ustanovka-dlya-mojki-i-dezinfektsii-endo-clean-1000-medinova,confirmed,4,На странице EndoMarket есть галерея.,Эндоскопия | ЦСО
ENDO CLEAN-2000,Установка для мойки и дезинфекции ENDO CLEAN-2000 MEDINOVA,Оборудование для дезинфекции,https://endomarket.ru/products/ustanovka-dlya-mojki-i-dezinfektsii-endo-clean-2000-medinova,confirmed,7,На странице EndoMarket есть галерея.,Эндоскопия | ЦСО
EC-5BD,Шкаф для сушки и хранения эндоскопов EC-5BD,Системы хранения,https://endomarket.ru/products/shkaf-dlya-sushki-i-hraneniya-endoskopov-ec-5bd,confirmed,8,На странице EndoMarket есть галерея.,Эндоскопия | ЦСО
EC-10BD,Шкаф для сушки и хранения эндоскопов EC-10BD,Системы хранения,https://endomarket.ru/catalog/sistemy-hraneniya,confirmed,8,На странице EndoMarket есть галерея.,Эндоскопия | ЦСО
VIO + APC 2,Рабочая станция ERBE VIO с аргоновым модулем APC 2,Электрохирургические блоки,https://endomarket.ru/catalog/elektrohirurgicheskie-bloki,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Хирургия | Операционная | Эндоскопия
VIO 200 S,Коагулятор ERBE VIO 200 S,Электрохирургические блоки,https://endomarket.ru/catalog/elektrohirurgicheskie-bloki,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Хирургия | Операционная | Эндоскопия
VIO 200 D,Коагулятор ERBE VIO 200 D,Электрохирургические блоки,https://endomarket.ru/catalog/elektrohirurgicheskie-bloki,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Хирургия | Операционная | Эндоскопия
VIO 3,Коагулятор ERBE VIO 3,Электрохирургические блоки,https://endomarket.ru/catalog/elektrohirurgicheskie-bloki,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Хирургия | Операционная | Эндоскопия
ARC 303,Электрохирургический аппарат ARC 303,Электрохирургические блоки,https://endomarket.ru/catalog/elektrohirurgicheskie-bloki,confirmed,2,На странице EndoMarket есть галерея.,Хирургия | Операционная | Эндоскопия
ARC 350,Электрохирургический аппарат ARC 350,Электрохирургические блоки,https://endomarket.ru/catalog/elektrohirurgicheskie-bloki,confirmed,2,На странице EndoMarket есть галерея.,Хирургия | Операционная | Эндоскопия
ARC 400,Электрохирургический аппарат ARC 400,Электрохирургические блоки,https://endomarket.ru/catalog/elektrohirurgicheskie-bloki,confirmed,3,На странице EndoMarket есть галерея.,Хирургия | Операционная | Эндоскопия
iLivTouch,Аппарат для диагностики печени iLivTouch,Прочее оборудование,https://endomarket.ru/catalog/prochee-oborudovanie,confirmed,2,На странице EndoMarket есть галерея.,Диагностика | Гастроэнтерология
KS-350,Смотровой стол МЕТ KS-350,Прочее оборудование,https://endomarket.ru/catalog/prochee-oborudovanie,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Медицинский кабинет | Диагностика
1 электропривод,Кушетка электромеханическая ZERTS с 1 эл. приводом,Прочее оборудование,https://endomarket.ru/catalog/prochee-oborudovanie,confirmed,2,На странице EndoMarket есть галерея.,Медицинский кабинет | Диагностика
